Contents,Start Section,End Section,Type,Chapter
"Correspondence and Representation (Continued), Particularly in the Word",3472,3485,Doctrine,26
[Matthew 24:8–14],3486,3489,Doctrine,27
Inner Meaning of Genesis 27,3491,3623,Exposition,27
"The Correspondence of All Our Organs and Parts, both Internal and External, with the Universal Human, Which Is Heaven",3624,3649,Doctrine,27
[Matthew 24:15–18],3650,3655,Doctrine,28
Summary of Genesis 28,3656,3657,Summary,28
Inner Meaning of Genesis 28,3658,3740,Exposition,28
The Universal Human and What Corresponds to It (Continued),3741,3750,Doctrine,28
[Matthew 24:19–22],3751,3757,Doctrine,29
Summary of Genesis 29,3758,3759,Summary,29
Inner Meaning of Genesis 29,3760,3882,Exposition,29
The Universal Human and Correspondence (Continued): Correspondence with the Heart and Lungs,3883,3896,Doctrine,29
[Matthew 24:23–28],3897,3901,Doctrine,30
Summary of Genesis 30,3902,3903,Summary,30
The Universal Human and Correspondence (Continued): Correspondence with the Cerebrum and Cerebellum,4039,4055,Doctrine,30
[Matthew 24:29–31],4056,4060,Doctrine,31
Inner Meaning of Genesis 31,4062,4217,Exposition,31
The Universal Human and Correspondence (Continued),4218,4228,Doctrine,31
[Matthew 24:32–35],4229,4231,Doctrine,32
Inner Meaning of Genesis 32,4233,4317,Exposition,32
The Universal Human and Correspondence (Continued): Correspondence with the Senses in General,4318,4331,Doctrine,32
[Matthew 24:36–41],4332,4335,Doctrine,33
Inner Meaning of Genesis 33,4337,4402,Exposition,33
The Universal Human and Correspondence (Continued): Correspondence with the Eye and Light,4403,4421,Doctrine,33
[Matthew 24:42–51],4422,4424,Doctrine,34
Inner Meaning of Genesis 34,4426,4522,Exposition,34
Correspondence of the Eye and Light with the Universal Human (Continued),4523,4534,Doctrine,34
Inner Meaning of Genesis 35,4537,4621,Exposition,35
Correspondence with the Universal Human (Continued): Correspondence of Smells and the Nose,4622,4634,Doctrine,35
[Matthew 25:1–13],4635,4638,Doctrine,36
Inner Meaning of Genesis 36,4640,4651,Exposition,36
"Correspondence with the Universal Human, or Heaven (Continued): Correspondence of Sound and the Ears",4652,4660,Doctrine,36
[Matthew 25:31–46],4661,4664,Doctrine,37
Inner Meaning of Genesis 37,4666,4790,Exposition,37
"Correspondence with the Universal Human (Continued): Correspondence of Taste and the Tongue, and of the Face",4791,4806,Doctrine,37
[Matthew 25:31–33],4807,4810,Doctrine,38
Summary of Genesis 38,4811,4812,Summary,38
Inner Meaning of Genesis 38,4813,4930,Exposition,38
"Correspondence with the Universal Human (Continued): Correspondence of the Hands, Arms, Feet, and Lower Torso",4931,4953,Doctrine,38
[Matthew 25:34–36],4954,4959,Doctrine,39
Summary of Genesis 39,4960,4961,Summary,39
Inner Meaning of Genesis 39,4962,5049,Exposition,39
Correspondence with the Universal Human(Continued): Correspondence of the Lower Torso and the Reproductive Organs,5050,5062,Doctrine,39
[Matthew 25:37–46],5063,5071,Doctrine,40
Inner Meaning of Genesis 40,5073,5170,Exposition,40
Correspondence with the Universal Human (Continued): Correspondence of the Internal Organs,5171,5190,Doctrine,40
Summary of Genesis 41,5191,5192,Summary,41
Inner Meaning of Genesis 41,5193,5376,Exposition,41
Inner Meaning of Genesis 42,5398,5551,Exposition,42
"Correspondence with the Universal Human (Continued): Correspondence of the Skin, Hair, and Bones",5552,5573,Doctrine,42
Inner Meaning of Genesis 43,5575,5710,Exposition,43
Correspondence (Continued): How Diseases Correspond with the Spiritual World,5711,5727,Doctrine,43
Summary of Genesis 44,5728,5730,Summary,44
Inner Meaning of Genesis 44,5731,5845,Exposition,44
The Angels and Spirits with Us,5846,5866,Doctrine,44
